INTERVAL_DATETIME,REGIONID,POWER
2018-06-01,QLD1,1235.845
2018-06-01,SA1,360.725
2018-06-01,TAS1,61.42
2018-06-01,VIC1,666.05
2018-06-02,NSW1,488.191
2018-06-02,QLD1,1223.941
2018-06-02,SA1,429.083
2018-06-02,TAS1,54.385
2018-06-02,VIC1,625.817
2018-06-03,NSW1,658.895
2018-06-03,QLD1,1162.231
2018-06-03,SA1,444.125
2018-06-03,TAS1,55.301
2018-06-03,VIC1,555.686
2018-06-04,NSW1,587.453
2018-06-04,QLD1,1162.756
2018-06-04,SA1,395.652
2018-06-04,TAS1,56.942
2018-06-04,VIC1,569.488
2018-06-05,NSW1,524.507
2018-06-05,QLD1,1181.747
2018-06-05,SA1,437.131
2018-06-05,TAS1,54.382
2018-06-05,VIC1,565.644
2018-06-06,NSW1,495.62
2018-06-06,QLD1,1112.504
2018-06-06,SA1,444.196
2018-06-06,TAS1,57.48
2018-06-06,VIC1,627.696
2018-06-07,NSW1,718.248
2018-06-07,QLD1,702.287
2018-06-07,SA1,241.402
2018-06-07,TAS1,28.156
2018-06-07,VIC1,256.857
2018-06-08,NSW1,313.832
2018-06-08,QLD1,953.813
2018-06-08,SA1,116.265
2018-06-08,TAS1,32.135
2018-06-08,VIC1,105.745
2018-06-09,NSW1,392.954
2018-06-09,QLD1,816.48
2018-06-09,SA1,301.555
2018-06-09,TAS1,64.813
2018-06-09,VIC1,439.539
2018-06-10,NSW1,571.799
2018-06-10,QLD1,1007.605
2018-06-10,SA1,367.54
2018-06-10,TAS1,56.679
2018-06-10,VIC1,616.835
2018-06-11,NSW1,759.765
2018-06-11,QLD1,1181.557
2018-06-11,SA1,373.586
2018-06-11,TAS1,49.421
2018-06-11,VIC1,611.078
2018-06-12,NSW1,609.442
2018-06-12,QLD1,1135.453
2018-06-12,SA1,251.259
2018-06-12,TAS1,19.102
2018-06-12,VIC1,426.485
2018-06-13,NSW1,632.5
2018-06-13,QLD1,933.75
2018-06-13,SA1,363.861
2018-06-13,TAS1,54.41
2018-06-13,VIC1,329.981
2018-06-14,NSW1,829.449
2018-06-14,QLD1,842.973
2018-06-14,SA1,353.122
2018-06-14,TAS1,44.144
2018-06-14,VIC1,519.148
2018-06-15,NSW1,740.614
2018-06-15,QLD1,1157.923
2018-06-15,SA1,355.216
2018-06-15,TAS1,50.712
2018-06-15,VIC1,244.398
2018-06-16,NSW1,791.258
2018-06-16,QLD1,1165.42
2018-06-16,SA1,321.666
2018-06-16,TAS1,37.248
2018-06-16,VIC1,380.094
2018-06-17,NSW1,718.481
2018-06-17,QLD1,1120.901
2018-06-17,SA1,330.633
2018-06-17,TAS1,37.36
2018-06-17,VIC1,280.101
2018-06-18,NSW1,545.774
2018-06-18,QLD1,1245.953
2018-06-18,SA1,255.997
2018-06-18,TAS1,37.893
2018-06-18,VIC1,304.993
2018-06-19,NSW1,494.139
2018-06-19,QLD1,1227.34
2018-06-19,SA1,346.333
2018-06-19,TAS1,64.902
2018-06-19,VIC1,590.004
2018-06-20,NSW1,683.066
2018-06-20,QLD1,1107.741
2018-06-20,SA1,452.265
2018-06-20,TAS1,38.584
2018-06-20,VIC1,458.727
2018-06-21,NSW1,597.722
2018-06-21,QLD1,1087.002
2018-06-21,SA1,424.895
2018-06-21,TAS1,54.474
2018-06-21,VIC1,610.708
2018-06-22,NSW1,816.672
2018-06-22,QLD1,1126.036
2018-06-22,SA1,462.97
2018-06-22,TAS1,30.833
2018-06-22,VIC1,586.925
2018-06-23,NSW1,849.432
2018-06-23,QLD1,1084.401
2018-06-23,SA1,391.292
2018-06-23,TAS1,53.599
2018-06-23,VIC1,226.916
2018-06-24,NSW1,834.826
2018-06-24,QLD1,1101.957
2018-06-24,SA1,217.672
2018-06-24,TAS1,36.436
2018-06-24,VIC1,315.295
2018-06-25,NSW1,836.689
2018-06-25,QLD1,980.865
2018-06-25,SA1,429.698
2018-06-25,TAS1,49.142
2018-06-25,VIC1,354.064
2018-06-26,NSW1,733.662
2018-06-26,QLD1,745.124
2018-06-26,SA1,385.236
2018-06-26,TAS1,63.546
2018-06-26,VIC1,522.058
2018-06-27,NSW1,531.266
2018-06-27,QLD1,325.104
2018-06-27,SA1,442.443
2018-06-27,TAS1,45.579
2018-06-27,VIC1,323.153
2018-06-28,NSW1,483.931
2018-06-28,QLD1,675.209
2018-06-28,SA1,362.777
2018-06-28,TAS1,57.048
2018-06-28,VIC1,291.14
2018-06-29,NSW1,716.357
2018-06-29,QLD1,1094.183
2018-06-29,SA1,263.043
2018-06-29,TAS1,25.109
2018-06-29,VIC1,316.722
2018-06-30,NSW1,804.206
2018-06-30,QLD1,892.592
2018-06-30,SA1,431.695
2018-06-30,TAS1,38.009
2018-06-30,VIC1,346.957
2018-07-01,NSW1,755.831
2018-07-01,QLD1,443.425
2018-07-01,SA1,450.871
2018-07-01,TAS1,58.148
2018-07-01,VIC1,575.941
2018-07-02,NSW1,507.623
2018-07-02,QLD1,878.589
2018-07-02,SA1,438.879
2018-07-02,TAS1,62.248
2018-07-02,VIC1,653.975
2018-07-03,NSW1,671.842
2018-07-03,QLD1,1044.739
2018-07-03,SA1,477.18
2018-07-03,TAS1,27.676
2018-07-03,VIC1,418.193
2018-07-04,NSW1,768.878
2018-07-04,QLD1,1034.149
2018-07-04,SA1,361.245
2018-07-04,TAS1,44.228
2018-07-04,VIC1,442.727
2018-07-05,NSW1,749.955
2018-07-05,QLD1,784.103
2018-07-05,SA1,131.984
2018-07-05,TAS1,48.892
2018-07-05,VIC1,281.039
2018-07-06,NSW1,620.326
2018-07-06,QLD1,762.985
2018-07-06,SA1,401.472
2018-07-06,TAS1,52.976
2018-07-06,VIC1,549.177
2018-07-07,NSW1,719.356
2018-07-07,QLD1,672.904
2018-07-07,SA1,417.208
2018-07-07,TAS1,56.906
2018-07-07,VIC1,447.566
2018-07-08,NSW1,815.092
2018-07-08,QLD1,1213.964
2018-07-08,SA1,273.542
2018-07-08,TAS1,45.355
2018-07-08,VIC1,382.244
2018-07-09,NSW1,791.551
2018-07-09,QLD1,1225.758
2018-07-09,SA1,169.773
2018-07-09,TAS1,58.866
2018-07-09,VIC1,412.266
2018-07-10,NSW1,827.497
2018-07-10,QLD1,1146.501
2018-07-10,SA1,444.808
2018-07-10,TAS1,68.271
2018-07-10,VIC1,440.602
2018-07-11,NSW1,788.165
2018-07-11,QLD1,961.882
2018-07-11,SA1,447.191
2018-07-11,TAS1,55.129
2018-07-11,VIC1,328.183
2018-07-12,NSW1,793.122
2018-07-12,QLD1,1006.741
2018-07-12,SA1,326.243
2018-07-12,TAS1,58.94
2018-07-12,VIC1,437.75
2018-07-13,NSW1,921.016
2018-07-13,QLD1,1257.531
2018-07-13,SA1,445.763
2018-07-13,TAS1,65.647
2018-07-13,VIC1,506.318
2018-07-14,NSW1,896.224
2018-07-14,QLD1,1224.37
2018-07-14,SA1,497.853
2018-07-14,TAS1,57.118
2018-07-14,VIC1,673.202
2018-07-15,NSW1,931.978
2018-07-15,QLD1,1215.314
2018-07-15,SA1,455.737
2018-07-15,TAS1,41.466
2018-07-15,VIC1,661.226
2018-07-16,NSW1,848.025
2018-07-16,QLD1,1214.882
2018-07-16,SA1,431.258
2018-07-16,TAS1,39.467
2018-07-16,VIC1,311.522
2018-07-17,NSW1,907.033
2018-07-17,QLD1,1228.633
2018-07-17,SA1,362.075
2018-07-17,TAS1,57.346
2018-07-17,VIC1,677.306
2018-07-18,NSW1,901.312
2018-07-18,QLD1,1169.769
2018-07-18,SA1,474.801
2018-07-18,TAS1,29.944
2018-07-18,VIC1,684.558
2018-07-19,NSW1,725.894
2018-07-19,QLD1,1178.661
2018-07-19,SA1,209.792
2018-07-19,TAS1,31.387
2018-07-19,VIC1,617.789
2018-07-20,NSW1,753.064
2018-07-20,QLD1,1008.665
2018-07-20,SA1,443.301
2018-07-20,TAS1,49.72
2018-07-20,VIC1,521.016
2018-07-21,NSW1,912.055
2018-07-21,QLD1,1255.541
2018-07-21,SA1,325.786
2018-07-21,TAS1,64.075
2018-07-21,VIC1,441.607
2018-07-22,NSW1,923.302
2018-07-22,QLD1,1134.997
2018-07-22,SA1,487.691
2018-07-22,TAS1,43.635
2018-07-22,VIC1,660.696
2018-07-23,NSW1,922.304
2018-07-23,QLD1,1140.772
2018-07-23,SA1,207.832
2018-07-23,TAS1,28.747
2018-07-23,VIC1,414.376
2018-07-24,NSW1,898.143
2018-07-24,QLD1,1181.868
2018-07-24,SA1,470.979
2018-07-24,TAS1,43.989
2018-07-24,VIC1,507.333
2018-07-25,NSW1,851.804
2018-07-25,QLD1,959.384
2018-07-25,SA1,389.667
2018-07-25,TAS1,59.825
2018-07-25,VIC1,568.431
2018-07-26,NSW1,878.117
2018-07-26,QLD1,1199.146
2018-07-26,SA1,480.444
2018-07-26,TAS1,51.328
2018-07-26,VIC1,515.05
2018-07-27,NSW1,858.0
2018-07-27,QLD1,1197.491
2018-07-27,SA1,450.26
2018-07-27,TAS1,37.944
2018-07-27,VIC1,581.26
2018-07-28,NSW1,696.779
2018-07-28,QLD1,1200.433
2018-07-28,SA1,458.415
2018-07-28,TAS1,70.24
2018-07-28,VIC1,529.185
2018-07-29,NSW1,801.708
2018-07-29,QLD1,1218.729
2018-07-29,SA1,437.954
2018-07-29,TAS1,25.007
2018-07-29,VIC1,523.71
2018-07-30,NSW1,941.235
2018-07-30,QLD1,1308.847
2018-07-30,SA1,391.749
2018-07-30,TAS1,57.516
2018-07-30,VIC1,394.675
2018-07-31,NSW1,890.086
2018-07-31,QLD1,1290.156
2018-07-31,SA1,459.193
2018-07-31,TAS1,57.458
2018-07-31,VIC1,590.783
2018-08-01,NSW1,911.371
2018-08-01,QLD1,1270.825
2018-08-01,SA1,392.121
2018-08-01,TAS1,60.438
2018-08-01,VIC1,640.74
2018-08-02,NSW1,818.272
2018-08-02,QLD1,1237.884
2018-08-02,SA1,460.219
2018-08-02,TAS1,50.7
2018-08-02,VIC1,753.298
2018-08-03,NSW1,913.276
2018-08-03,QLD1,1145.623
2018-08-03,SA1,417.691
2018-08-03,TAS1,48.479
2018-08-03,VIC1,508.662
2018-08-04,NSW1,937.287
2018-08-04,QLD1,1247.921
2018-08-04,SA1,480.534
2018-08-04,TAS1,67.253
2018-08-04,VIC1,475.103
2018-08-05,NSW1,929.761
2018-08-05,QLD1,1243.352
2018-08-05,SA1,267.469
2018-08-05,TAS1,51.87
2018-08-05,VIC1,774.229
2018-08-06,NSW1,639.523
2018-08-06,QLD1,1246.724
2018-08-06,SA1,385.564
2018-08-06,TAS1,41.431
2018-08-06,VIC1,478.338
2018-08-07,NSW1,922.051
2018-08-07,QLD1,948.615
2018-08-07,SA1,349.731
2018-08-07,TAS1,61.008
2018-08-07,VIC1,503.853
2018-08-08,NSW1,807.095
2018-08-08,QLD1,1345.787
2018-08-08,SA1,450.263
2018-08-08,TAS1,62.624
2018-08-08,VIC1,432.346
2018-08-09,NSW1,967.107
2018-08-09,QLD1,1309.969
2018-08-09,SA1,536.628
2018-08-09,TAS1,49.041
2018-08-09,VIC1,446.203
2018-08-10,NSW1,948.152
2018-08-10,QLD1,1263.093
2018-08-10,SA1,376.801
2018-08-10,TAS1,37.987
2018-08-10,VIC1,791.207
2018-08-11,NSW1,926.934
2018-08-11,QLD1,1215.03
2018-08-11,SA1,425.031
2018-08-11,TAS1,32.946
2018-08-11,VIC1,421.331
