I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",NSW1,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",QLD1,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",QLDC,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",QLDN,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",QLDS,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",SA1,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",TAS1,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",TASN,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",TASS,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",VIC1,0,1,MEASUREMENT,"2022/02/20 05:19:42"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",NSW1,2526.647,1,MEASUREMENT,"2022/02/20 10:20:37"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",QLD1,1946.937,1,MEASUREMENT,"2022/02/20 10:20:37"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",QLDC,199.98,1,MEASUREMENT,"2022/02/20 10:20:37"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",QLDN,304.59,1,MEASUREMENT,"2022/02/20 10:20:37"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",QLDS,1442.366,1,MEASUREMENT,"2022/02/20 10:20:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",SA1,388.376,1,MEASUREMENT,"2022/02/20 10:20:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",TAS1,78.406,1,MEASUREMENT,"2022/02/20 10:20:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",TASN,31.858,1,MEASUREMENT,"2022/02/20 10:20:38"
