I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",NSW1,2241.507,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",QLD1,1789.049,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",QLDC,184.452,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",QLDN,268.161,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",QLDS,1336.437,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",SA1,436.156,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",TAS1,58.483,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",TASN,24.424,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",TASS,34.059,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 09:30:00",VIC1,1324.968,0.6,SATELLITE,"2022/02/20 09:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",NSW1,2463.355,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",QLD1,1873.532,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",QLDC,206.873,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",QLDN,315.339,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",QLDS,1351.32,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",SA1,396.613,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",TAS1,67.666,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",TASN,27.838,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",TASS,39.828,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:00:00",VIC1,1497.163,0.6,SATELLITE,"2022/02/20 10:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",NSW1,2640.665,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",QLD1,1892.621,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",QLDC,221.987,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",QLDN,373.949,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",QLDS,1296.686,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",SA1,368.189,0.6,SATELLITE,"2022/02/20 10:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 10:30:00",TAS1,73.452,0.6,SATELLITE,"2022/02/20 10:50:25"
